,clube_casa_id,clube_visitant_id,clube_casa_nome,clube_visitant_nome,placar_casa,placar_visitante,rodada
299,290,262,Goiás,Flamengo,-1.0,-1.0,30
300,262,275,Flamengo,Palmeiras,-1.0,-1.0,31
301,263,373,Botafogo,Atlético-GO,-1.0,-1.0,31
302,276,285,São Paulo,Internacional,-1.0,-1.0,31
303,280,267,Bragantino,Vasco,-1.0,-1.0,31
304,264,292,Corinthians,Sport,-1.0,-1.0,31
305,284,282,Grêmio,Atlético-MG,-1.0,-1.0,31
306,265,293,Bahia,Athlético-PR,-1.0,-1.0,31
307,294,266,Coritiba,Fluminense,-1.0,-1.0,31
308,356,277,Fortaleza,Santos,-1.0,-1.0,31
309,290,354,Goiás,Ceará,-1.0,-1.0,31
310,266,263,Fluminense,Botafogo,-1.0,-1.0,32
311,267,282,Vasco,Atlético-MG,-1.0,-1.0,32
312,276,294,São Paulo,Coritiba,-1.0,-1.0,32
313,277,290,Santos,Goiás,-1.0,-1.0,32
314,264,280,Corinthians,Bragantino,-1.0,-1.0,32
315,285,284,Internacional,Grêmio,-1.0,-1.0,32
316,292,265,Sport,Bahia,-1.0,-1.0,32
317,293,262,Athlético-PR,Flamengo,-1.0,-1.0,32
318,354,275,Ceará,Palmeiras,-1.0,-1.0,32
319,373,356,Atlético-GO,Fortaleza,-1.0,-1.0,32
320,266,290,Fluminense,Goiás,-1.0,-1.0,33
321,267,265,Vasco,Bahia,-1.0,-1.0,33
322,275,263,Palmeiras,Botafogo,-1.0,-1.0,33
323,277,264,Santos,Corinthians,-1.0,-1.0,33
324,282,356,Atlético-MG,Fortaleza,-1.0,-1.0,33
325,285,280,Internacional,Bragantino,-1.0,-1.0,33
326,292,262,Sport,Flamengo,-1.0,-1.0,33
327,294,284,Coritiba,Grêmio,-1.0,-1.0,33
328,354,293,Ceará,Athlético-PR,-1.0,-1.0,33
329,373,276,Atlético-GO,São Paulo,-1.0,-1.0,33
330,262,267,Flamengo,Vasco,-1.0,-1.0,34
331,263,292,Botafogo,Sport,-1.0,-1.0,34
332,276,275,São Paulo,Palmeiras,-1.0,-1.0,34
333,280,373,Bragantino,Atlético-GO,-1.0,-1.0,34
334,264,354,Corinthians,Ceará,-1.0,-1.0,34
335,284,277,Grêmio,Santos,-1.0,-1.0,34
336,265,266,Bahia,Fluminense,-1.0,-1.0,34
337,293,285,Athlético-PR,Internacional,-1.0,-1.0,34
338,356,294,Fortaleza,Coritiba,-1.0,-1.0,34
339,290,282,Goiás,Atlético-MG,-1.0,-1.0,34
340,266,282,Fluminense,Atlético-MG,-1.0,-1.0,35
341,263,284,Botafogo,Grêmio,-1.0,-1.0,35
342,276,354,São Paulo,Ceará,-1.0,-1.0,35
343,280,262,Bragantino,Flamengo,-1.0,-1.0,35
344,264,293,Corinthians,Athlético-PR,-1.0,-1.0,35
345,285,292,Internacional,Sport,-1.0,-1.0,35
346,265,290,Bahia,Goiás,-1.0,-1.0,35
347,294,275,Coritiba,Palmeiras,-1.0,-1.0,35
348,356,267,Fortaleza,Vasco,-1.0,-1.0,35
349,373,277,Atlético-GO,Santos,-1.0,-1.0,35
350,262,264,Flamengo,Corinthians,-1.0,-1.0,36
351,267,285,Vasco,Internacional,-1.0,-1.0,36
352,275,356,Palmeiras,Fortaleza,-1.0,-1.0,36
353,277,294,Santos,Coritiba,-1.0,-1.0,36
354,282,265,Atlético-MG,Bahia,-1.0,-1.0,36
355,284,276,Grêmio,São Paulo,-1.0,-1.0,36
356,292,280,Sport,Bragantino,-1.0,-1.0,36
357,293,373,Athlético-PR,Atlético-GO,-1.0,-1.0,36
358,354,266,Ceará,Fluminense,-1.0,-1.0,36
359,290,263,Goiás,Botafogo,-1.0,-1.0,36
360,262,285,Flamengo,Internacional,-1.0,-1.0,37
361,263,276,Botafogo,São Paulo,-1.0,-1.0,37
362,275,373,Palmeiras,Atlético-GO,-1.0,-1.0,37
363,277,266,Santos,Fluminense,-1.0,-1.0,37
364,264,267,Corinthians,Vasco,-1.0,-1.0,37
365,284,293,Grêmio,Athlético-PR,-1.0,-1.0,37
366,292,282,Sport,Atlético-MG,-1.0,-1.0,37
367,294,354,Coritiba,Ceará,-1.0,-1.0,37
368,356,265,Fortaleza,Bahia,-1.0,-1.0,37
369,290,280,Goiás,Bragantino,-1.0,-1.0,37
370,266,356,Fluminense,Fortaleza,-1.0,-1.0,38
371,267,290,Vasco,Goiás,-1.0,-1.0,38
372,276,262,São Paulo,Flamengo,-1.0,-1.0,38
373,280,284,Bragantino,Grêmio,-1.0,-1.0,38
374,282,275,Atlético-MG,Palmeiras,-1.0,-1.0,38
375,285,264,Internacional,Corinthians,-1.0,-1.0,38
376,265,277,Bahia,Santos,-1.0,-1.0,38
377,293,292,Athlético-PR,Sport,-1.0,-1.0,38
378,354,263,Ceará,Botafogo,-1.0,-1.0,38
379,373,294,Atlético-GO,Coritiba,-1.0,-1.0,38
