,apelido,clube_id,clube_nome,jogador_id,posicao_id,posicao_nome,status_id,status_nome,scout,rodada,pontos,preco,variacao,media
22,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",11,9.3,10.08,1.4,4.0
23,Gustavo Ferrareis,373,Atlético-GO,89815,4,Meia,7,Provável,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 21, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 2, 'I': 2, 'PI': 50}",12,,,,
24,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},1,0.0,2.0,0.0,0.0
25,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},2,8.89,5.42,3.42,8.89
26,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},3,2.98,5.55,0.13,5.94
27,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},4,0.89,5.29,-0.26,4.26
28,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},5,1.27,5.32,0.03,3.51
29,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},6,1.98,5.5,0.18,3.2
30,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},7,3.6,5.9,0.4,3.27
31,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},8,2.46,5.92,0.02,3.15
32,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},9,4.69,6.51,0.59,3.34
33,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},10,4.37,6.69,0.18,3.45
34,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},11,4.43,6.76,0.07,3.55
35,Vagner Mancini,373,Atlético-GO,39850,6,Técnico,7,Provável,{},12,,,,
36,Willian Maranhão,373,Atlético-GO,87262,4,Meia,6,Nulo,"{'DS': 4, 'FS': 1, 'I': 1, 'PI': 10}",1,0.0,4.0,0.0,0.0
37,Willian Maranhão,373,Atlético-GO,87262,4,Meia,6,Nulo,"{'DS': 4, 'FS': 1, 'I': 1, 'PI': 10}",2,1.9,3.8,-0.2,1.9
